"arquivo";"line";"severity";"type";"status";"resolution";"message";"rule";"effort";"author";"creationDate";"updateDate"
"src/main/java/br/gov/caixa/simtr/hub/arvoredocumento/dominio/erro/FalhaConsultaProcessoParametrizado.java";"23";"MAJOR";"CODE_SMELL";"OPEN";;"Constructor has 9 parameters, which is greater than 7 authorized.";"java:S107";"20min";"";"2026-07-17T12:00:05-0300";"2026-07-17T12:00:05-0300"
"src/main/java/br/gov/caixa/simtr/hub/conformidade/adaptador/entrada/rest/v1/ChecklistRestMapper.java";"61";"MAJOR";"CODE_SMELL";"OPEN";;"Return an empty collection instead of null.";"java:S1168";"30min";"";"2026-07-17T12:00:05-0300";"2026-07-17T12:00:05-0300"
"src/main/java/br/gov/caixa/simtr/hub/conformidade/dominio/erro/FalhaConsultaChecklist.java";"23";"MAJOR";"CODE_SMELL";"OPEN";;"Constructor has 9 parameters, which is greater than 7 authorized.";"java:S107";"20min";"";"2026-07-17T12:00:05-0300";"2026-07-17T12:00:05-0300"
"src/main/java/br/gov/caixa/simtr/hub/dossieproduto/adaptador/entrada/rest/v1/DocumentoDossieProdutoRestMapper.java";"141";"MAJOR";"CODE_SMELL";"OPEN";;"Return an empty collection instead of null.";"java:S1168";"30min";"";"2026-07-17T12:00:05-0300";"2026-07-17T12:00:05-0300"
"src/main/java/br/gov/caixa/simtr/hub/dossieproduto/adaptador/entrada/rest/v1/ValidacaoNegocialDossieProdutoRestMapper.java";"127";"MAJOR";"CODE_SMELL";"OPEN";;"Return an empty collection instead of null.";"java:S1168";"30min";"";"2026-07-17T12:00:05-0300";"2026-07-17T12:00:05-0300"
"src/main/java/br/gov/caixa/simtr/hub/dossieproduto/adaptador/entrada/rest/v1/ValidacaoNegocialDossieProdutoRestMapper.java";"170";"MAJOR";"CODE_SMELL";"OPEN";;"Return an empty collection instead of null.";"java:S1168";"30min";"";"2026-07-17T12:00:05-0300";"2026-07-17T12:00:05-0300"
"src/main/java/br/gov/caixa/simtr/hub/dossieproduto/adaptador/saida/simulador/dto/ValidacaoNegocialDossieProdutoSimuladorResponse.java";"3";"MINOR";"CODE_SMELL";"OPEN";;"Remove this empty class, write its code or make it an ""interface"".";"java:S2094";"5min";"";"2026-07-17T12:00:05-0300";"2026-07-17T12:00:05-0300"
"src/main/java/br/gov/caixa/simtr/hub/dossieproduto/adaptador/saida/simulador/mapper/ValidacaoNegocialDossieProdutoSimuladorMapper.java";"9";"MAJOR";"CODE_SMELL";"OPEN";;"Remove this unused method parameter ""resposta"".";"java:S1172";"5min";"";"2026-07-17T12:00:05-0300";"2026-07-17T12:00:05-0300"
"src/main/java/br/gov/caixa/simtr/hub/dossieproduto/dominio/erro/FalhaAtualizacaoFormularioDossieProduto.java";"23";"MAJOR";"CODE_SMELL";"OPEN";;"Constructor has 9 parameters, which is greater than 7 authorized.";"java:S107";"20min";"";"2026-07-17T12:00:05-0300";"2026-07-17T12:00:05-0300"
"src/main/java/br/gov/caixa/simtr/hub/dossieproduto/dominio/erro/FalhaCriacaoDossieProduto.java";"23";"MAJOR";"CODE_SMELL";"OPEN";;"Constructor has 9 parameters, which is greater than 7 authorized.";"java:S107";"20min";"";"2026-07-17T12:00:05-0300";"2026-07-17T12:00:05-0300"
"src/main/java/br/gov/caixa/simtr/hub/dossieproduto/dominio/erro/FalhaInclusaoDocumentoDossieProduto.java";"23";"MAJOR";"CODE_SMELL";"OPEN";;"Constructor has 9 parameters, which is greater than 7 authorized.";"java:S107";"20min";"";"2026-07-17T12:00:05-0300";"2026-07-17T12:00:05-0300"
"src/main/java/br/gov/caixa/simtr/hub/dossieproduto/dominio/erro/FalhaRegistroValidacaoNegocialDossieProduto.java";"23";"MAJOR";"CODE_SMELL";"OPEN";;"Constructor has 9 parameters, which is greater than 7 authorized.";"java:S107";"20min";"";"2026-07-17T12:00:05-0300";"2026-07-17T12:00:05-0300"
"src/main/java/br/gov/caixa/simtr/hub/dossieproduto/dominio/erro/FalhaWorkflowDossieProduto.java";"23";"MAJOR";"CODE_SMELL";"OPEN";;"Constructor has 9 parameters, which is greater than 7 authorized.";"java:S107";"20min";"";"2026-07-17T12:00:05-0300";"2026-07-17T12:00:05-0300"
